session_id,plant_id,blind_label,condition_code,channel_family,feature_name,feature_value,window_name,normalization,quality_flag
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,baseline_mean,0.014588413333333333,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,baseline_sd,0.01840804070804809,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,response_peak_abs,0.27238258666666665,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,response_auc_abs,15.425409573333342,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,response_mean_shift,0.05069580666666667,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,latency_s,0.0,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,n_baseline,300.0,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,electrical,n_response,300.0,baseline_to_response,baseline_corrected,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,pressure,mean_force_n,0.45705866666666667,interaction,none,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,pressure,contact_fraction,1.0,interaction,none,PASS
SYN001,SYN-P001,SYN-B001,HOST_TOUCH_VOICE,pressure,peak_force_n,0.53962,interaction,none,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,baseline_mean,-0.020908913333333334,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,baseline_sd,0.019063253737994352,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,response_peak_abs,0.15933091333333332,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,response_auc_abs,11.682435906666676,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,response_mean_shift,0.03860111333333334,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,latency_s,0.0,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,n_baseline,300.0,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,electrical,n_response,300.0,baseline_to_response,baseline_corrected,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,pressure,mean_force_n,0.4452964999999998,interaction,none,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,pressure,contact_fraction,1.0,interaction,none,PASS
SYN002,SYN-P001,SYN-B002,NOVEL_STRANGER_TOUCH_VOICE,pressure,peak_force_n,0.52678,interaction,none,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,baseline_mean,0.002684873333333333,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,baseline_sd,0.018195154393334752,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,response_peak_abs,0.11421612666666667,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,response_auc_abs,10.407744439999998,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,response_mean_shift,0.03391165,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,latency_s,1.0,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,n_baseline,300.0,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,electrical,n_response,300.0,baseline_to_response,baseline_corrected,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,pressure,mean_force_n,0.42581866666666673,interaction,none,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,pressure,contact_fraction,1.0,interaction,none,PASS
SYN003,SYN-P001,SYN-B003,OBJECT_TOUCH,pressure,peak_force_n,0.5416,interaction,none,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,baseline_mean,0.02162393,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,baseline_sd,0.01890037845983778,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,response_peak_abs,0.08356907,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,response_auc_abs,7.839504960000002,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,response_mean_shift,0.024449453333333336,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,latency_s,62.0,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,n_baseline,300.0,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,electrical,n_response,300.0,baseline_to_response,baseline_corrected,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,pressure,mean_force_n,0.0,interaction,none,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,pressure,contact_fraction,0.0,interaction,none,PASS
SYN004,SYN-P001,SYN-B004,NO_TOUCH_BASELINE,pressure,peak_force_n,0.0,interaction,none,PASS
