time_s,leaf_temp_c,air_temp_c,relative_humidity_pct,co2_ppm,light_umol_m2_s
-300,24.081,24.092,55.048,421.973,180.84
-299,24.005,24.12,54.853,417.33,180.293
-298,23.995,24.136,54.889,419.2,179.623
-297,24.016,24.121,55.129,418.791,178.877
-296,23.945,24.082,54.481,420.728,178.122
-295,23.96,24.092,55.261,421.949,179.657
-294,24.025,24.109,54.962,419.208,180.376
-293,24.035,24.084,55.144,419.644,180.38
-292,23.99,24.137,55.237,419.776,179.473
-291,23.968,24.133,54.882,418.188,178.998
-290,23.992,24.114,54.795,418.454,179.287
-289,24.008,24.095,54.683,417.669,179.389
-288,23.998,24.094,54.965,420.841,181.529
-287,24.032,24.078,54.821,417.472,179.155
-286,24.013,24.138,55.075,417.816,180.214
-285,24.04,24.137,54.891,421.007,179.422
-284,23.975,24.057,55.174,424.286,180.152
-283,24.0,24.111,55.203,420.876,179.524
-282,24.034,24.093,55.095,417.774,179.231
-281,24.045,24.078,55.036,424.101,179.949
-280,24.017,24.109,54.747,420.233,180.379
-279,23.959,24.082,54.785,421.22,180.332
-278,24.053,24.057,55.034,419.421,179.609
-277,23.962,24.103,54.685,420.069,181.887
-276,23.96,24.144,54.821,422.338,180.597
-275,23.99,24.065,55.177,420.585,179.562
-274,24.035,24.057,54.875,422.62,179.56
-273,23.999,24.131,55.015,420.371,177.511
-272,23.998,24.127,54.734,420.673,179.632
-271,23.991,24.073,54.924,420.186,180.191
-270,23.989,24.164,55.075,418.655,180.79
-269,24.016,24.164,54.712,419.889,181.052
-268,23.986,24.107,55.122,419.281,179.601
-267,24.031,24.084,55.123,419.778,180.297
-266,24.011,24.116,55.198,420.905,180.058
-265,24.016,24.151,54.954,421.337,180.717
-264,24.031,24.079,54.795,419.675,180.737
-263,23.98,24.139,54.648,421.613,179.508
-262,23.974,24.137,54.901,419.83,180.337
-261,24.009,24.114,55.054,422.704,179.79
-260,24.02,24.171,55.069,419.808,179.864
-259,24.002,24.108,55.267,421.071,178.224
-258,24.069,24.125,54.934,419.041,180.932
-257,24.0,24.045,54.962,419.303,179.64
-256,23.934,24.076,55.41,418.648,180.326
-255,24.007,24.057,54.858,421.537,180.912
-254,23.947,24.057,54.887,419.584,180.454
-253,23.984,24.082,55.122,420.145,178.303
-252,24.004,24.056,54.989,421.398,179.062
-251,24.04,24.083,55.418,419.587,180.927
-250,23.961,24.069,54.958,420.723,180.233
-249,24.057,24.072,54.921,421.198,179.798
-248,23.964,24.109,55.179,420.946,181.05
-247,24.039,24.103,54.839,421.601,179.721
-246,24.055,24.13,55.111,420.184,180.19
-245,23.964,24.076,54.946,418.912,178.963
-244,23.993,24.145,55.065,420.409,181.002
-243,24.016,24.103,55.031,420.849,180.996
-242,23.97,24.072,55.052,418.345,179.505
-241,23.98,24.077,55.183,424.066,180.864
-240,23.991,24.156,54.73,418.808,178.55
-239,24.031,24.066,55.072,420.685,179.556
-238,23.985,24.128,54.972,419.266,178.03
-237,23.993,24.097,55.141,418.271,178.744
-236,23.987,24.141,55.225,416.839,180.039
-235,23.958,24.107,55.314,420.264,181.166
-234,23.998,24.054,54.943,420.134,179.147
-233,23.994,24.106,54.821,421.899,179.434
-232,24.032,24.118,54.785,421.282,181.081
-231,23.965,24.089,55.242,417.846,180.293
-230,23.976,24.117,55.043,419.019,178.864
-229,23.984,24.121,55.009,418.02,181.065
-228,24.025,24.062,55.042,419.878,181.263
-227,23.997,24.134,54.753,420.16,179.66
-226,24.056,24.133,54.982,417.104,179.228
-225,24.026,24.126,54.877,419.061,180.167
-224,23.993,24.088,55.047,421.507,180.218
-223,23.993,24.074,55.284,418.415,178.102
-222,23.929,24.132,54.96,418.842,180.482
-221,23.996,24.115,54.762,421.052,180.133
-220,23.996,24.077,55.192,419.586,181.093
-219,23.997,24.079,54.816,419.52,179.772
-218,24.026,24.152,54.798,420.29,180.341
-217,23.965,24.117,54.958,420.807,179.309
-216,23.96,24.095,54.938,422.731,180.507
-215,24.008,24.096,55.142,418.745,180.372
-214,24.036,24.137,55.043,419.505,180.837
-213,24.004,24.127,54.906,420.896,180.296
-212,24.011,24.129,55.026,419.736,178.433
-211,24.024,24.135,55.171,419.883,181.21
-210,24.019,24.086,54.819,418.864,180.722
-209,24.006,24.098,54.82,416.834,180.455
-208,24.014,24.058,54.551,419.964,178.74
-207,24.007,24.103,54.693,420.623,179.449
-206,24.033,24.038,54.967,421.584,180.792
-205,24.043,24.169,55.464,419.156,179.065
-204,23.968,24.12,54.848,420.492,180.659
-203,24.032,24.002,55.196,420.116,179.614
-202,23.968,24.096,55.164,415.947,179.801
-201,24.034,24.138,54.805,421.874,178.264
-200,24.022,24.124,55.117,423.119,179.832
-199,24.046,24.106,55.154,421.678,180.86
-198,24.0,24.113,54.814,419.793,179.696
-197,24.014,24.117,54.607,419.105,180.536
-196,24.027,24.1,55.128,419.206,181.151
-195,24.018,24.089,55.104,421.744,180.91
-194,24.01,24.102,54.826,419.471,178.158
-193,23.965,24.133,54.918,420.096,181.063
-192,23.942,24.126,55.195,420.354,178.666
-191,23.996,24.08,55.0,424.044,180.606
-190,24.001,24.087,54.518,421.43,180.576
-189,24.004,24.086,55.07,417.159,180.933
-188,24.018,24.14,54.438,416.736,180.894
-187,23.961,24.147,55.181,419.729,180.003
-186,23.958,24.095,54.956,420.323,178.882
-185,24.03,24.072,55.252,421.526,178.903
-184,23.978,24.097,55.115,422.428,178.713
-183,23.982,24.092,54.791,422.153,180.125
-182,24.043,24.073,54.915,419.969,179.542
-181,24.019,24.131,54.907,420.179,180.036
-180,24.043,24.056,55.079,418.565,178.952
-179,23.988,24.085,55.032,419.099,180.45
-178,24.033,24.062,55.06,418.809,180.842
-177,24.02,24.059,55.004,419.531,181.082
-176,24.034,24.089,54.976,420.392,178.788
-175,23.994,24.036,55.235,421.673,181.196
-174,24.01,24.091,55.24,419.049,180.669
-173,23.99,24.118,55.108,418.619,179.842
-172,24.004,24.113,54.817,420.57,180.913
-171,24.049,24.159,55.111,419.905,180.825
-170,24.009,24.091,55.181,419.389,178.031
-169,23.914,24.052,54.847,420.758,179.447
-168,23.956,24.082,54.898,419.833,179.62
-167,24.063,24.133,54.651,418.369,180.157
-166,24.024,24.099,55.343,420.706,180.905
-165,23.967,24.133,55.002,417.523,180.009
-164,23.983,24.058,55.066,420.195,180.83
-163,24.012,24.1,55.48,420.935,180.21
-162,24.019,24.132,54.97,420.631,180.145
-161,24.012,24.091,54.818,417.148,180.497
-160,24.01,24.097,54.874,419.942,180.629
-159,23.989,24.109,55.192,420.226,180.108
-158,23.992,24.087,55.344,420.986,180.851
-157,24.001,24.084,55.145,419.006,179.891
-156,23.988,24.082,55.092,419.137,179.995
-155,23.997,24.095,54.958,419.255,179.682
-154,24.032,24.131,54.864,421.479,180.225
-153,23.979,24.088,54.764,422.337,178.973
-152,23.953,24.072,55.203,417.475,180.207
-151,23.996,24.101,54.831,420.623,181.897
-150,23.977,24.117,55.058,419.399,179.338
-149,23.982,24.124,55.187,418.967,179.477
-148,24.01,24.084,55.109,418.809,179.441
-147,24.0,24.037,54.965,419.405,180.694
-146,24.011,24.093,55.136,418.29,180.528
-145,24.018,24.036,54.608,417.657,180.453
-144,24.04,24.18,54.847,419.224,179.634
-143,24.036,24.107,55.052,419.719,180.442
-142,24.029,24.137,55.065,421.718,179.792
-141,23.989,24.077,54.953,417.513,179.81
-140,24.07,24.079,55.186,418.724,180.719
-139,23.97,24.044,55.135,420.08,180.772
-138,23.998,24.068,54.835,420.2,181.383
-137,24.003,24.092,55.055,419.539,178.604
-136,24.005,24.072,54.997,420.472,180.236
-135,23.994,24.108,54.909,420.678,179.958
-134,24.02,24.125,54.899,422.438,179.193
-133,23.993,24.117,55.296,419.782,179.529
-132,24.018,24.073,55.099,418.503,180.242
-131,23.971,24.159,55.245,420.751,180.3
-130,23.994,24.165,55.23,421.401,180.718
-129,24.014,24.091,54.924,420.465,180.081
-128,23.958,24.109,54.819,420.158,178.704
-127,24.001,24.138,54.846,419.595,179.081
-126,24.021,24.108,54.985,423.035,179.796
-125,23.971,24.109,54.613,419.057,179.203
-124,23.984,24.106,55.071,420.542,179.74
-123,23.96,24.143,55.19,422.242,180.189
-122,24.001,24.086,55.042,419.175,179.193
-121,23.965,24.065,54.918,418.433,178.294
-120,24.041,24.08,55.02,416.254,179.033
-119,23.97,24.076,54.952,419.543,178.75
-118,23.981,24.104,54.752,421.491,182.156
-117,24.026,24.063,54.658,419.926,178.743
-116,23.943,24.115,54.562,421.503,180.301
-115,23.945,24.048,55.076,418.686,179.869
-114,24.05,24.102,55.121,420.213,180.239
-113,23.986,24.048,55.065,420.346,181.72
-112,24.027,24.127,54.966,418.34,179.77
-111,23.961,24.111,55.326,419.425,178.789
-110,24.023,24.13,55.553,421.968,181.135
-109,23.99,24.06,54.992,419.139,178.592
-108,23.992,24.012,54.704,419.298,180.49
-107,24.011,24.055,55.53,419.24,179.117
-106,24.035,24.112,54.778,421.555,180.093
-105,23.949,24.133,54.979,419.767,180.184
