time_s,leaf_temp_c,air_temp_c,relative_humidity_pct,co2_ppm,light_umol_m2_s
-300,23.991,24.098,54.958,421.545,181.862
-299,23.991,24.13,55.046,420.626,179.589
-298,24.05,24.107,54.929,418.9,179.622
-297,23.999,24.041,54.761,419.572,179.634
-296,23.956,24.098,54.874,419.177,181.051
-295,24.065,24.094,55.08,419.95,179.558
-294,24.0,24.118,54.746,421.161,180.605
-293,24.029,24.098,55.183,419.316,181.185
-292,24.021,24.038,55.025,421.734,180.091
-291,23.982,24.125,54.629,418.534,180.558
-290,24.016,24.125,55.176,421.371,180.714
-289,24.004,24.132,54.82,421.271,180.202
-288,23.935,24.042,55.088,419.101,179.846
-287,24.05,24.137,54.987,420.597,179.807
-286,23.999,24.111,55.189,421.108,180.448
-285,24.038,24.072,54.923,420.55,182.335
-284,24.009,24.137,55.063,421.786,180.408
-283,24.012,24.081,54.854,420.428,180.128
-282,24.018,24.1,55.196,420.293,178.75
-281,24.021,24.097,55.219,419.987,180.006
-280,23.963,24.094,55.088,422.352,179.86
-279,23.971,24.095,54.763,420.636,180.841
-278,23.969,24.1,55.18,421.211,180.596
-277,24.005,24.071,55.128,420.544,180.813
-276,23.991,24.079,54.819,420.241,180.099
-275,23.971,24.086,55.26,418.405,179.27
-274,24.021,24.097,54.802,421.364,181.866
-273,23.957,24.126,55.118,422.492,180.478
-272,23.951,24.107,54.885,419.136,181.337
-271,24.007,24.056,54.958,419.222,180.092
-270,23.992,24.115,54.938,418.307,179.275
-269,23.975,24.087,54.905,421.844,179.99
-268,23.97,24.107,55.27,421.459,178.506
-267,23.982,24.131,55.125,422.083,180.626
-266,23.998,24.095,55.04,421.533,181.187
-265,23.98,24.124,54.689,417.753,180.005
-264,24.061,24.09,54.82,419.413,178.143
-263,24.026,24.119,55.175,418.439,179.861
-262,23.985,24.11,54.969,419.966,180.455
-261,24.016,24.112,54.866,420.987,179.973
-260,24.001,24.116,55.16,422.775,179.336
-259,24.0,24.127,54.829,418.169,179.788
-258,23.99,24.116,54.885,418.327,179.088
-257,24.04,24.071,54.813,421.613,178.798
-256,23.942,24.06,55.1,419.962,178.854
-255,23.998,24.13,54.987,420.009,178.987
-254,24.007,24.108,54.877,420.899,179.957
-253,23.997,24.097,54.848,421.274,179.858
-252,24.013,24.087,55.188,417.9,178.355
-251,23.986,24.094,54.994,419.53,179.07
-250,24.009,24.062,54.947,420.127,178.598
-249,23.976,24.092,54.947,423.235,180.852
-248,24.014,24.113,54.756,421.21,180.524
-247,24.024,24.136,54.961,419.02,179.332
-246,23.994,24.104,55.092,418.197,181.378
-245,24.005,24.071,54.624,420.038,180.529
-244,24.016,24.157,54.632,418.838,180.55
-243,24.002,24.075,55.041,418.51,180.724
-242,24.013,24.115,55.092,419.393,179.852
-241,24.016,24.122,55.251,420.175,180.357
-240,23.966,24.094,54.582,419.297,180.502
-239,24.011,24.072,55.012,417.201,179.617
-238,24.054,24.052,54.877,418.418,180.312
-237,23.969,24.044,54.786,419.368,179.401
-236,24.002,24.139,55.325,419.396,179.789
-235,24.033,24.124,55.19,418.809,180.377
-234,23.991,24.127,54.926,420.076,180.733
-233,23.98,24.125,54.917,420.1,180.317
-232,23.984,24.063,54.8,418.588,178.699
-231,23.961,24.097,54.904,419.286,178.475
-230,23.979,24.079,54.82,421.309,178.998
-229,24.089,24.068,55.064,420.62,179.071
-228,24.025,24.101,55.146,420.159,180.883
-227,24.052,24.126,55.631,420.443,178.277
-226,24.019,24.03,54.939,421.809,179.178
-225,24.005,24.106,54.879,420.092,181.177
-224,23.978,24.086,54.953,419.529,179.661
-223,24.002,24.07,55.041,420.578,179.553
-222,24.008,24.099,55.146,420.79,181.677
-221,24.006,24.04,54.933,419.772,179.787
-220,24.013,24.13,54.68,418.817,179.738
-219,24.049,24.101,54.888,418.004,181.066
-218,23.985,24.085,54.746,419.724,181.329
-217,23.973,24.115,55.053,421.774,177.821
-216,24.002,24.136,54.899,423.289,178.407
-215,23.98,24.085,54.48,418.662,180.259
-214,24.024,24.11,54.37,420.99,178.431
-213,23.982,24.067,54.809,421.016,178.657
-212,24.001,24.093,54.888,420.652,180.137
-211,24.007,24.093,55.183,421.886,180.435
-210,24.01,24.118,55.382,420.875,178.544
-209,24.001,24.035,54.67,421.019,179.785
-208,23.966,24.106,55.096,421.117,180.141
-207,23.997,24.082,55.038,421.682,182.482
-206,23.987,24.034,55.093,422.698,180.19
-205,24.001,24.057,55.042,420.12,179.755
-204,23.983,24.123,55.39,421.221,179.929
-203,23.973,24.115,55.031,421.626,179.932
-202,23.963,24.123,54.59,420.081,179.335
-201,23.987,24.102,54.824,420.669,181.329
-200,23.943,24.126,55.142,419.158,181.669
-199,23.999,24.091,55.119,419.699,180.989
-198,24.004,24.08,54.988,420.75,178.324
-197,24.028,24.129,55.029,423.401,178.648
-196,24.02,24.084,55.16,418.406,179.888
-195,23.95,24.104,54.994,418.066,179.667
-194,24.022,24.055,55.258,418.523,177.935
-193,23.973,24.069,55.005,419.5,179.954
-192,23.992,24.093,55.051,420.524,179.265
-191,24.0,24.104,55.137,420.207,180.138
-190,24.006,24.057,55.018,421.471,180.498
-189,24.056,24.111,55.271,419.945,178.703
-188,24.008,24.136,55.076,419.588,179.712
-187,23.967,24.085,55.083,419.695,179.534
-186,24.011,24.113,55.36,420.715,180.054
-185,23.965,24.101,55.078,420.57,179.913
-184,24.017,24.123,55.361,423.129,180.622
-183,24.023,24.073,54.944,419.479,180.447
-182,24.018,24.057,55.336,419.568,179.629
-181,23.974,24.086,55.066,418.645,178.842
-180,24.006,24.057,54.928,420.907,180.618
-179,23.945,24.071,54.939,420.826,180.064
-178,24.025,24.088,55.178,419.236,179.562
-177,24.025,24.099,55.227,417.981,179.96
